1	'Start_1:45forgold' -170.863 37.8968 -651.182
2	'' -133.001 34.417 -648.657
3	'' -31.1744 25.9653 -705.525
4	'' 148.518 27.4933 -656.673
5	'' 349.142 24.3088 -608.588
6	'' 459.438 26.6916 -600.396
7	'' 653.08 23.4535 -566.236
8	'' 753.754 22.6253 -480.709
9	'' 808.827 22.7441 -442.413
10	'' 832.985 25.0067 -413.292
11	'' 821.911 29.4271 -310.655
12	'' 821.949 31.0808 -193.95
13	'' 852.313 35.0025 -118.139
14	'' 858.651 27.9399 -48.6777
15	'' 864.788 25.1463 113.655
16	'' 866.303 31.666 307.374
17	'' 853.646 30.4303 410.498
18	'' 756.988 31.2078 448.842
19	'' 592.398 4.02893 401.294
20	'' 499.673 3.12591 361.443
21	'' 456.511 4.53758 333.429
22	'' 462.303 9.59036 308.734
23	'' 498.395 30.5642 227.74
24	'' 569.141 40.7835 123.928
25	'' 610.848 32.9059 55.9414
26	'' 603.732 30.7485 20.9461
27	'' 469.374 26.1638 -68.167
28	'' 405.396 47.1528 -94.6794
29	'' 289.406 47.507 -83.883
30	'' 267.58 46.7643 -33.7607
31	'' 165.441 21.9696 0.860994
32	'' 23.3799 21.0348 47.633
33	'' -84.0049 39.2498 48.5487
34	'' -271.233 48.2238 21.021
35	'' -496.807 42.0229 -17.836
36	'' -531.08 52.0955 -53.1099
37	'' -442.956 51.0331 -200.104
38	'' -483.071 38.4786 -328.388
39	'' -494.682 34.4816 -439.998
40	'' -423.602 41.1126 -541.953
41	'1:45forgold' -344.1 57.2366 -593.41
42	'' -197.102 37.4306 -626.252
