1	'' 362.17 98.8389 -562.661
2	'' 388.646 167.155 -511.297
3	'' 382.333 57.7905 -500.946
4	'' 488.919 71.7032 -415.372
5	'' 512.936 109.196 -510.034
6	'' 339.848 2.30975 -525.283
7	'' 313.324 22.7189 -666.448
8	'' 452.106 16.66 -339.447
9	'' 203.133 21.5796 -689.19
10	'' 202.6 82.6427 -244.295
11	'' 90.1579 26.3975 -5.61808
12	'' 156.328 19.828 -126.694
13	'' 239.563 23.6391 -88.6039
14	'' -328.25 20.6092 -12.5823
15	'' -358.899 30.7018 72.2855
16	'' -707.872 42.9455 -244.234
17	'' -608.372 85.4875 -303.052
18	'' -236.644 130.474 -243.201
19	'' -168.713 116.646 -254.643
20	'' -80.9951 70.6592 -297.964
21	'' 120.067 36.0059 -567.189
22	'' 134.645 30.7853 -442.21
23	'' 42.2143 30.0628 -619.382
24	'' -718.209 0.540975 -638.464
25	'' -705.115 1.72783 -583.528
26	'' -581.379 1.47635 -577.364
27	'' -574.486 0.927148 -520.426
28	'' -551.459 0.586862 -498.818
28	'' -736.069 0.807262 -622.626
30	'' -724.471 2.34615 -617.139
31	'' -618.813 0.0281172 -598.166
32	'' -626.642 -0.244257 -512.645
33	'' 148.362 36.7607 -591.237
34	'' 72.9927 28.8935 -456.088
35	'' 122.382 31.3496 -491.225
36	'' -208.755 3.64421 -108.132
37	'' 428.75 16.7795 -510.888
38	'' 461.522 19.2947 -479.906
39	'' 567.665 12.9299 -473.738
40	'' -170.815 115.686 -254.537
41	'' -384.032 100.688 -289.918
42	'' 500.842 29.4737 -624.722
