1	'1' -527.268 74.8771 -885.183
2	'2' -538.193 83.5151 -877.866
3	'3' -517.408 83.4843 -856.405
4	'4' -524.371 91.5998 -847.547
5	'5' -519.553 91.5604 -895.626
6	'6' -1002.6 89.4286 -889.425
7	'7' -1050.26 79.071 -872.473
8	'8' -573.322 86.4334 -557.586
9	'9' -833.718 63.696 -783.041
10	'10' -459.199 85.9461 -658.66
11	'11' -853.244 84.493 -951.255
12	'12' -621.569 66.2851 -658.432
13	'13' -684.878 84.6683 -999.432
14	'14' -603.933 85.564 -1012.12
15	'15' -855.79 87.0934 -517.955
16	'16' -692.102 105.461 -966.289
17	'17' -756.971 63.6646 -636.235
18	'18' -441.202 89.0556 -683.79
19	'19' -697.791 69.6143 -875.224
20	'20' -733.115 101.161 -987.346
