1	'Start_Gold_is32seconds' 317.47 40.0225 -90.9593
2	'' 299.82 26.7792 -151.682
3	'' 270.155 26.9146 -193.762
4	'' 231.798 27.0021 -234.646
5	'' 181.979 44.0783 -284.446
6	'' 111.494 62.7695 -305.41
7	'' 62.8511 77.5657 -305.527
8	'' -1.98608 98.9666 -300.571
9	'' -54.1768 83.8722 -252.711
10	'' -73.0099 68.6627 -201.579
11	'' -94.0861 58.8674 -106.546
12	'' -73.3226 66.6537 -57.961
13	'' -35.1753 72.8556 -18.8492
14	'' 31.5203 71.3188 -38.1131
15	'' 86.509 64.4129 -43.1359
16	'' 162.303 52.6531 16.7417
17	'' 243.966 33.3069 37.1477
18	'' 316.729 48.5088 55.7642
19	'' 355.922 49.8931 80.8051
20	'' 385.248 43.1226 113.571
21	'' 426.3 36.2119 108.528
22	'' 441.515 29.3118 62.2425
23	'' 415.845 41.2663 -0.212698
24	'' 376.557 42.7097 -44.8802
25	'end' 311.986 33.0158 -119.254
