1	'Start_Gold1:30min' 389.596 45.0464 630.44
2	'' 289.604 11.1011 591.009
3	'' 92.3405 5.79672 579.878
4	'' -45.5067 4.27338 496.126
5	'' -136.18 14.4735 419.97
6	'' -195.062 1.11377 341.862
7	'' -202.028 0.157884 157.367
8	'' -218.929 16.0119 43.8734
9	'' -274.707 36.2974 -32.5658
10	'' -336.482 24.4525 -130.382
11	'' -380.129 8.81338 -290.909
12	'' -337.17 9.62829 -433.109
13	'' -211.171 7.10522 -539.383
14	'' -74.6245 16.0255 -514.868
15	'' 53.2639 13.0038 -565.64
16	'' 206.169 5.61594 -569.248
17	'' 373.963 3.6326 -571.378
18	'' 463.688 14.2214 -558.496
19	'' 547.245 11.3579 -538.891
20	'' 570.172 7.2796 -410.249
21	'' 607.235 1.37827 -281.591
22	'' 606.904 0.566336 -202.644
23	'' 604.11 10.8616 -113.653
24	'' 738.541 10.4003 -31.3099
25	'' 768.406 13.4229 62.8879
26	'' 737.767 8.33473 196.931
27	'' 696.414 22.9389 262.314
28	'' 715.036 30.4026 340.136
29	'' 669.768 34.4593 392.884
30	'' 571.127 60.7014 457.398
31	'Secondlast_Gold1:30min' 442.372 2.50655 559.397
32	'' 358.756 14.8413 570.601
33	'' 286.388 10.3337 586.558
