1	'' 1267.99 7.971 86.6665
2	'' 1235.33 7.15793 95.8027
3	'' 1267.31 23.1191 195.485
4	'' 1378.05 -12.9641 222.458
5	'' 1377.63 -9.52053 240.605
6	'' 1382.06 18.4386 555.253
7	'' 1275.69 -12.8042 439.122
8	'' 1110.14 12.9707 434.647
9	'' 994.809 40.3742 388.92
10	'' 729.39 -43.6225 353.675
11	'' 452.478 -32.34 434.383
12	'' 327.098 59.3599 373.642
13	'' 334.852 60.6099 311.994
14	'' 298.994 47.9149 248.238
15	'' 325.741 47.9131 261.041
16	'' 248.437 69.4173 269.262
17	'' 263.039 49.807 207.016
18	'' 245.634 26.8349 60.2943
19	'' 180.055 35.7388 122.942
20	'' 182.992 33.1741 34.2178
21	'' 623.893 29.3906 -8.49254
22	'' 644.508 47.4079 43.4825
23	'' 6.8337 33.227 -27.178
24	'' -8.42827 32.9704 31.8256
25	'' -113.443 -46.5827 394.266
26	'' -420.579 -14.1143 443.454
27	'' -437.246 2.91177 306.368
28	'' -532.969 -56.7023 303.162
29	'' -639.516 -49.6452 355.473
30	'' -729.409 -16.3722 117.001
31	'' -681.025 -53.3894 182.828
32	'' 50.7289 33.8783 -72.5647
33	'' -120.645 41.4039 -481.807
34	'' -263.573 53.7952 -498.992
35	'' -316.529 33.758 -393.253
36	'' -438.569 48.2518 -418.94
37	'' -580.834 35.8298 -359.479
38	'' -652.726 2.05154 -470.854
39	'' -592.679 13.4212 -526.753
40	'' -580.01 12.7981 -273.724
41	'' -524.113 7.34313 -261.72
42	'' -490.639 9.62613 -302.893
43	'' -485.89 15.044 -363.503
44	'' -422.69 32.9844 -653.391
45	'' -408.981 38.4853 -677.805
46	'' -240.636 66.543 -620.089
47	'' -75.3595 74.6651 -479.307
48	'' -19.3809 46.5343 -409.159
49	'' -68.8002 77.3489 -610.804
50	'' 6.11977 78.4706 -607.084
51	'' 174.979 50.9592 -512.794
52	'' 303.113 32.5244 -453.47
53	'' 181.395 30.3472 -329.051
54	'' 103.246 39.3729 -324.094
55	'' 48.091 39.1453 -355.297
56	'' 425.836 44.6104 -174.123
57	'' 630.62 21.0125 -157.016
58	'' 698.218 53.3991 -282.194
59	'' 646.749 56.6968 -312.867
60	'' 844.784 0.820697 -114.322
61	'' 952.926 3.97913 233.091
62	'' 1110.69 46.8019 251.652
63	'' 1050.8 47.1264 190.137
64	'' 1050.15 39.7414 210.931
65	'' 1188.08 84.6396 -241.854
66	'' 1301.02 50.9244 -576.05
67	'' 1172.71 54.1965 -480.93
68	'' 1134.08 62.6977 -523.527
69	'' 1048.9 77.2121 -561.53
70	'' 1047.65 77.1108 -558.353
71	'' 1041.66 78.2156 -557.352
72	'' 1039.22 79.1004 -560.936
73	'' 941.956 88.4988 -609.958
74	'' 926.846 72.2205 -526.366
75	'' 877.994 57.6889 -481.453
76	'' 634.353 72.5208 -644.304
77	'' 592.049 69.7268 -622.295
78	'' 510.908 26.5364 -383.75
79	'' 1267.08 37.2912 -461.782
