1	'start_1:30Gold' 297.342 3.27321 -675.058
2	'' 215.355 5.63469 -672.848
3	'' 35.7492 68.9944 -714.976
4	'' -32.7734 103.511 -645.631
5	'' -61.485 97.8978 -465.489
6	'' -13.6131 96.0769 -383.91
7	'' -46.8803 93.416 -247.184
8	'' -57.5607 76.7628 -140.904
9	'' -72.7236 92.7468 -12.9929
10	'' -121.291 88.7483 65.1575
11	'' -111.834 75.2654 135.426
12	'' -149.735 82.012 204.227
13	'' -179.99 87.3817 245.318
14	'' -360.7 89.542 240.268
15	'' -498.344 91.6891 200.73
16	'' -562.351 80.8015 164.429
17	'' -592.053 87.3533 86.5545
18	'' -597.368 88.054 35.8735
19	'' -518.193 88.3593 4.37722
20	'' -528.217 65.7697 -130.312
21	'' -448.768 25.7663 -232.183
22	'' -400.424 12.1694 -329.579
23	'' -307.408 12.127 -361.638
24	'' -251.529 15.8011 -455.939
25	'' -196.517 20.2128 -547.83
26	'' -125.545 36.6996 -495.159
27	'' -104.743 44.1586 -348.382
28	'' -85.3071 52.6733 -240.417
29	'' -59.1405 62.7436 -203.578
30	'' 3.24005 74.6602 -254.852
31	'1:30forGold' 61.4845 53.0337 -410.903
32	'finish' 206.326 1.5759 -608.847
