1	'' 216.49 5.51 -673.17
2	'' 31.79 69.85 -716.71
3	'' -31.92 101.94 -649.06
4	'' -64.53 97.71 -470.59
5	'' -44.13 93.22 -251.44
6	'' -57.45 75.18 -144.66
7	'' -73.33 92.52 -14.45
8	'' -121.17 88.57 66.46
9	'' -112.75 75.38 133.39
10	'' -149.15 81.16 201.34
11	'' -176.99 86.37 240.88
12	'' -359.43 88.67 242.6
13	'' -494.52 91.25 205.77
14	'' -562.82 80.93 166.39
15	'' -587.45 87.54 89.18
16	'' -598.59 88.06 38.43
17	'' -520.38 88.46 7.12
18	'' -528.25 65.76 -127.48
19	'' -448.23 23.1 -236.36
20	'' -403.65 12.57 -327.26
21	'' -311.21 11.9 -358.93
22	'' -253.84 15.81 -451.28
23	'' -200.12 20.28 -547.89
24	'' -127.43 35.82 -500.06
25	'' -103.29 44.23 -351.67
26	'' -89.49 51.33 -243.42
27	'' -57.58 63.14 -204.71
28	'' 2.19 74.78 -251.75
29	'' 59.11 53.33 -409.99
30	'' 201.69 1.83 -602.87
