1	'' -409.411 26.231 -777.876
2	'' -758.776 33.4009 -195.475
3	'' -795.092 3.10017 217.467
4	'' -714.326 11.1654 215.442
5	'' -619.531 25.2398 208.664
6	'' -897.565 1.51377 169.929
7	'' 553.211 0.258504 -312.888
8	'' 626.641 12.4293 -392.059
9	'' 1093.25 32.9351 375.882
10	'' 914.872 16.7768 668.188
11	'' 1009.44 70.5121 847.621
12	'' 595.105 29.9282 806.758
13	'' 723.332 7.98805 714.258
14	'' 325.808 15.3364 904.919
15	'' 260.677 14.5943 910.517
16	'' 250.651 7.77469 872.039
17	'' 1088.43 49.6589 35.8033
18	'' 846.775 14.7717 -252.572
19	'' 917.356 23.3292 -338.15
20	'' -152.039 43.5561 -700.129
21	'' -174.491 31.8319 -825.165
22	'' -983.118 33.1392 -280.874
23	'' -72.4188 7.21612 -869.542
24	'' 77.9907 0.595918 -888.799
25	'' 85.8751 -0.984003 -780.83
26	'' -7.68784 0.112558 -376.458
27	'Rally Waypoint' -618.302 48.5276 -147.621
