1	'1' -101.49 108.2 -950.01
2	'2' -97.52 103.65 -635.97
3	'3' -84.08 105.43 -422.24
4	'4-pause-until-map-loads' -76.23 116.12 -339.36
5	'5' -68.95 112.7 -219.51
6	'6' -56.41 117.65 -99.82
7	'7' -49.75 120.85 20.07
8	'8' -46.06 119.53 81.92
9	'9' -36.99 116.78 194.01
10	'10' -220.18 119.69 228.38
11	'11' -304.36 115.74 157.18
12	'12' -418.61 122.04 203.46
13	'13-pause-until-ma-loads' -288.89 110.67 675.41
14	'14' -273.45 102.71 783.79
15	'15' -272.48 135.29 911.34
16	'16' -283.33 164.73 1034.34
17	'17' -294.64 223.3 1289.59
18	'18' 2.74 225.85 1343.89
19	'19-just-jump-to-finish' 362.99 257.52 1426.27
