1	'' -554.114 8.81714 20.7151
2	'' -557.566 8.86956 17.274
3	'' -491.635 6.6431 129.976
4	'' -679.209 1.53161 243.123
5	'' -739.175 7.34302 317.765
6	'' -727.658 22.4572 576.744
7	'' -633.44 22.6075 709.443
8	'' -566.454 5.59545 613.803
9	'' -262.219 19.5419 249.745
10	'' -84.5932 12.1209 92.0656
11	'' -38.822 1.26796 66.8346
12	'' -2.9313 0.599647 36.9164
13	'' -166.808 78.3486 -489.996
14	'' -334.647 77.5254 -654.297
15	'' -213.784 78.9213 -546.722
16	'' -332.156 77.3004 -645.865
17	'' -197.349 35.6246 71.5869
18	'' -342.239 77.4729 -647.454
19	'' -588.698 -0.119926 187.932
20	'' -335.252 77.2526 -638.929
21	'' -694.603 1.419 360.356
22	'' -331.268 77.1455 -642.355
