1	'Jade_Battery' -406.16 143.78 535.42
2	'01' 72.07 3.17 -579.15
3	'02' -683.23 260.63 544.27
4	'03' 1024.11 1.14 -52.39
5	'04' -667.42 148.17 240.14
6	'Jade_Battery' -406.16 143.78 535.42
7	'05' 1281.54 14.9 -12.88
8	'06' -1106.85 3.75 -191.14
9	'07' -725.23 255.55 581.62
10	'08' -222.36 3.55 -31.68
11	'Jade_Battery' -406.16 143.78 535.42
12	'09' 691.24 2.96 -6.58
13	'10' -948.25 4.07 -12.94
14	'11' 646.18 118.34 807.56
15	'12' 1086.35 116.72 -253.67
16	'Jade_Battery' -406.16 143.78 535.42
17	'13' -70.74 3.23 8.87
18	'14' -657.48 21.5 830.79
19	'15' 277.82 3.23 555.97
20	'16' 378.66 3.22 167.67
21	'Jade_Battery' -406.16 143.78 535.42
22	'17' -492.15 147.83 381.52
23	'18' -370.45 257.14 568.06
24	'19' -339.84 325.26 649.98
25	'20' -652.3 267.37 529.41
26	'Jade_Battery' -406.16 143.78 535.42
27	'21' -814.68 321.11 218.94
28	'22' -577.16 193.44 428.76
29	'23' -644.83 7.55 11.69
30	'24' 1175.17 114.11 535.7
31	'Jade_Battery' -406.16 143.78 535.42
32	'25' 1274.34 3.35 779.22
33	'26' 1160.34 -57.87 703.97
34	'27' -132.8 3.75 -790.96
35	'28' 29.6 3.41 -665.3
36	'Jade_Battery' -406.16 143.78 535.42
37	'29' 633.8 3.22 35.22
38	'30' -1071.11 1.68 -760.96
39	'31' 804.15 3.33 -732.95
40	'32' -600.29 147.83 -394.52
41	'Jade_Battery' -406.16 143.78 535.42
42	'33' -383.21 143.95 -546.66
43	'34' -619.55 254.44 -564.1
44	'35' -824.85 243.77 -382.03
45	'36' 1164.71 3.31 -416.08
46	'Jade_Battery' -406.16 143.78 535.42
47	'37' 1090.65 268.23 605.84
48	'38' -574.63 332.19 -576.97
49	'39' -688.01 187.4 -0.04
50	'40' 1022.61 68.05 -752.71
51	'Jade_Battery' -406.16 143.78 535.42
52	'41' 564.09 134.73 484.87
53	'42' 270.61 15.51 442.77
54	'43' -1050.58 171.02 -925.92	
