1	'1' -1159 6.44 -179.44
2	'2' -240.83 3.7 -809.03
3	'3' 932.74 25.23 -23.7
4	'4' 292.84 3.29 751.95
5	'5' -653.39 158.31 350.09
6	'6' -1000.4 3.23 82.87
7	'7' -624.38 75.92 78.43
8	'8' -285.22 1.98 348.33
9	'9' -178.79 207.5 -653.73
10	'10' 14.62 98.13 250.41
11	'11' 596.9 3.22 88.94
12	'12' 1102.82 40.08 -339.91
13	'13' 834.26 43.47 -714.02
14	'14' 850.77 72.45 574.61
15	'15' 579.14 83.93 467.38
16	'16MRL' 537.24 44.88 -304.86
17	'17RML' -820.45 227.12 -818.87
18	'18RML' 305.22 152.11 795.45
19	'19MLR' 964.3 75.57 -681.04
20	'20RML' -834.65 256.07 -417.02
21	'21' 1098.73 47.77 262.95
22	'22' -548.2 281.54 604.22
23	'23' 417.55 243.64 281.41
24	'24' 1234.1 1.76 -606.15
25	'25' -1260.97 116.53 721.14
26	'26' -931.83 2.39 830.49
27	'27' -1340.63 1.38 -545.49
28	'28' -621.63 275.31 -508.03
29	'29' -770.58 243.63 346.72
30	'30' -617.12 187.97 0.06
31	'31_follow' 1277.51 12.15 709.26
32	'32_follow' 61.57 55.7 20.69
33	'33_follow' 1278.57 105.49 -93.76
34	'34_follow_if_you_cant_find_check_wiki' -914.5 243.65 -278.51
35	'35_follow' -31.04 148.06 -689.59
36	'Done_Thanks_to_customer#3503' -31.04 148.06 -689.59
