1	'' -28.96 178.1 -385.89
2	'' 138.5 155.28 -334.16
3	'' 394.83 77.69 -516.99
4	'' 696.05 34.34 -436.05
5	'' 795.28 80.03 -317.05
6	'' 1115.89 137.52 -22.53
7	'' 249.12 236.35 716.99
8	'' 303.27 286.25 563.92
9	'' -613.94 188.15 -253.77
10	'' -484.16 183.54 20.32
11	'' -382.17 261.7 488.87
12	'' -510.31 268.62 437.15
13	'' -546.73 262.84 372.72
14	'' -72.27 204.8 -439.25
15	'' 370.22 80.16 -468.17
16	'' 319.14 105.97 -376.26
17	'' 667.8 64.05 -328.97
18	'' 157.88 224.79 666.38
19	'' 230.8 262.56 512.69
20	'' -653.49 202.08 -303.18
21	'' -569.55 183.59 106.13
22	'' -491.25 250.15 505.69
23	'' 407.51 78.47 -421.73
24	'' 882.86 93.82 -203.13
25	'' 981.44 169.03 105.74
26	'' 260.86 238.36 661.05
27	'' 377.64 268.14 551.27
28	'' -530 191.05 166.55
29	'' -314.14 261.83 456.15
30	'' 489.13 316.32 104.28
31	'' 286.22 217.16 -165.15
32	'' -181.87 197.83 737.71
33	'' 474.64 74.25 -459.73
34	'' 1233.09 118.1 -46.74
35	'' 301.68 287.34 565.36
36	'' 928.7 146.8 18.34
37	'' 420.76 294.93 71.85
38	'' 364.14 276.77 16.3
39	'' 1068.61 127.79 -124.58
40	'' -245.81 240.77 476.43
41	'' -127.92 192.45 747.44
