1	'' -1.63 145.49 111.28
2	'' -138.31 141.9 232.83
3	'' -112.84 111.87 348.18
4	'' 108.58 73.59 273.04
5	'' 65.52 25.65 346.38
6	'' 117.29 60.46 236.24
7	'' 156.81 60.81 159.91
8	'' 66.22 94.94 306.76
9	'' -100.97 135.49 270.77
10	'' -28.66 2.17 265.52
11	'' 34.14 10.52 304.14
12	'' 197.3 55.69 105.85
13	'' -154.57 134.69 286.47
14	'' 45.97 15.25 290.58
15	'' 157.93 57.9 269.28
16	'' 5.57 5.59 224.93
17	'' -18.83 94.75 344.83
18	'' -83.47 1.96 -3.3
19	'' -242.94 5.15 -300.66
20	'' -248.68 -0.06 -282.23
21	'' -59.55 6.8 371.33
22	'' 48.14 97.5 342.3
