1	'start' -106.65 5.07 25
2	'' -85.71 3.15 86.19
3	'' -3.09 1.72 83.61
4	'' 78.66 0.96 111.06
5	'' 127.36 3.09 85.44
6	'' 172.19 1.7 10.23
7	'' 141.85 6.59 -78.8
8	'' 124.27 1.47 -145.4
9	'' 147.62 1.69 -175.97
10	'' 153.7 1.69 -209.09
11	'' 139.51 1.69 -240.76
12	'' 99.83 1.69 -230.32
13	'' 53.21 1.69 -234.22
14	'' -30.43 1.72 -268.69
15	'' -136.14 1.69 -283.95
16	'' -210.28 0.26 -219.09
17	'' -201.87 1.68 -182.2
18	'' -137.24 1.66 -95.91
19	'' -68.76 1.67 -85.61
20	'' 51.24 1.69 -88.39
21	'' 83.93 2.62 -49.04
22	'' 50.72 1.64 43.08
23	'' 56.79 1.72 160.46
24	'' 29.98 1.7 232.06
25	'' -19.77 1.69 256.27
26	'' -45.72 4.38 284.53
27	'' -93.21 5.83 326.05
28	'' -149.9 13.23 340.4
29	'' -214.6 4.85 305.82
30	'' -259.95 1.87 248.61
31	'' -311.07 1.69 170.46
32	'' -386.84 1.69 143.44
33	'' -432.88 1.69 67.93
34	'' -374.58 1.69 -7.85
35	'' -288.08 1.69 12.27
36	'last-spot-FINISH' -208.43 2.08 58.83
