1	'Race-announcer' 11.23 237 67
2	'' -2.14 218.66 149.64
3	'' -1.57 217.07 201.11
4	'' -88.23 217.18 211.01
5	'' -128.19 218.48 181.07
6	'' -149.98 215.1 125.59
7	'' -152.4 215.26 74.1
8	'' -177.8 215.69 51.21
9	'' -178.13 214.94 28.24
10	'' -209.49 215.41 7.55
11	'' -207.03 216.08 -12.95
12	'' -170.62 214.94 -32.96
13	'' -143.14 215.06 -6.87
14	'' -76.35 236.9 -4.57
15	'' -50.01 236.47 -33.73
16	'' -24.61 236.74 -56.72
17	'' -4.15 236.57 -76.85
18	'' -2.88 231.58 -100.3
19	'' -12.64 217.34 -139.61
20	'' -34.18 215.98 -167.69
21	'' -58.41 215.09 -169.54
22	'' -81.61 214.18 -168.47
23	'' -108.46 214.77 -149.82
24	'' -143.87 217.47 -139.82
25	'' -148.47 218.22 -115.76
26	'' -164.06 218.7 -111.92
27	'' -175.81 218.91 -126.91
28	'' -172.91 219.06 -165.01
29	'' -159.7 216.21 -203.74
30	'' -103.92 213.61 -228.08
31	'' -74.08 212.63 -226.74
32	'' -58.36 215.08 -211.86
33	'' -13.67 217.32 -213.2
34	'' 8.13 221.76 -235.84
35	'' 64.74 219.91 -210.75
36	'' 115.32 220.79 -203.35
37	'' 142.19 213.96 -165.74
38	'' 149.58 216.58 -121.04
39	'' 153.75 218.13 -77.11
40	'' 177.28 218.42 -61.04
41	'' 178.59 219.09 -7.92
42	'' 180.82 219.1 47.99
43	'' 155.19 219.09 71.21
44	'' 146.77 217.94 132.09
45	'' 79.25 216.17 202.87
46	'' 11.06 218.12 207.86
47	'FINISH' -0.04 236.04 80.65
48	'Safe-port-after-Race' -18.32 278.35 -11.79
