1	'starting' 29.29 56.69 19.26
2	'' 61.09 55.72 -1.35
3	'' 94.02 56.21 10.67
4	'' 117.17 58.33 -4.63
5	'' 102.35 57.43 -21.02
6	'' 78.3 57.4 -34.24
7	'' 64.35 61.44 -57
8	'' 55.15 69.23 -86.3
9	'' 45.66 57.65 -102.29
10	'' 28.4 82.49 -127.88
11	'' 39.18 73 -148.44
12	'' 39.92 60.1 -182.7
13	'' 11.4 68.35 -190.93
14	'' -27.86 69.15 -197.63
15	'' -53.13 56.7 -190.13
16	'' -51.18 69.46 -171.6
17	'' -51.89 55.93 -154.48
18	'' -73.21 54.72 -145.48
19	'' -93.54 70.71 -162.87
20	'' -109.35 56.57 -166.19
21	'' -118.81 68.06 -150.66
22	'' -119.69 56.01 -135.13
23	'' -124.61 56.27 -121.62
24	'' -119.72 65.83 -109.17
25	'' -117.24 56.65 -82.39
26	'' -114.39 56.86 -61.75
27	'' -120.66 56.78 -39.92
28	'' -113.57 55.83 -19.66
29	'' -94.63 55.78 -12.65
30	'' -57.8 55.72 -7.4
31	'' -2.86 73.45 -2.1
