1	'starting' 13.45 57.27 -28.51
2	'' -7.35 55.77 -65.79
3	'' -12.8 55.04 -103.64
4	'' -27.15 55.32 -148.65
5	'' -51.36 56.3 -162.47
6	'' -82.27 56.9 -170.12
7	'' -98.66 56.32 -170.94
8	'' -100.65 56.43 -159.09
9	'' -89.15 56.38 -137.66
10	'' -84.06 60.34 -115.44
11	'' -86.44 58.35 -86.59
12	'' -87.58 57.04 -32.14
13	'' -88.42 56.32 31.57
14	'' -89.47 55.93 61.67
15	'' -83.22 55.54 105.22
16	'' -57.8 56.99 119.65
17	'' -55.4 55.33 142.61
18	'' -63.72 57.21 171.04
19	'' -53.29 57.15 182.72
20	'' -28.25 56.65 186.5
21	'' 12.75 55.46 138.58
22	'' 35.5 55.6 141.83
23	'' 58.59 55.95 148.2
24	'' 71.81 60.68 147.73
25	'' 87.24 59.63 156.16
26	'' 94.62 56.26 136.92
27	'' 98.3 55.42 111.3
28	'' 102.47 56.06 78.07
29	'' 81.7 56.79 70.75
30	'' 77.49 55.54 87.2
31	'' 51.34 55.16 95.17
32	'' 30.8 57.21 90.29
33	'' 3.17 55.74 89.92
34	'FINISH' -1.28 55.78 70.72
