1	'starting-Time-trial:Roll-into-Madness' -18.93 56.37 32.02
2	'' -1.79 55.72 62.2
3	'' 27.87 56.61 153.16
4	'' 74.78 57.78 215.07
5	'' 108.23 59.53 210.42
6	'' 148.74 55.67 152.08
7	'' 127.59 56.52 85.44
8	'' 140.32 56.42 3.6
9	'' 114.85 59.93 -59.05
10	'' 68.19 56.8 -36.4
11	'' -1.26 65.16 0.53
12	'' -67.32 56.45 18.16
13	'' -122.79 56.77 24.92
14	'' -122.5 56.45 56.36
15	'' -70.48 56.08 101.27
16	'' -53.52 55.99 125.01
17	'' -58.88 55.85 138.79
18	'' -102.87 60.7 166.27
19	'' -123.79 59.7 151.67
20	'' -92.97 55.99 47.09
21	'' -100.86 55.74 3
22	'' -141.2 55.91 -13.2
23	'' -142.36 56.87 -55.02
24	'' -101.3 56.68 -75.34
25	'' -52.7 56.41 -46.05
26	'' -3.2 64.97 0.41
27	'' 49.72 55.69 36.63
28	'' 81.87 57.26 47.98
29	'' 109.22 56.26 29.03
30	'' 106.8 58.95 -39.96
31	'' 97.11 55.97 -94.17
32	'' 119.58 53.57 -134.58
33	'' 119.86 56.51 -168.04
34	'' 81.21 56.66 -171.5
35	'' 31.99 56.3 -164.01
36	'' -2.1 56.25 -162.42
37	'' -17.87 55.5 -156.09
38	'' -17.05 55.26 -124.15
39	'FINISH' -8.83 55.93 -71.49
