1	'' -1726.31 80.6719 585.415
2	'' -1730.95 63.179 545.467
3	'' -1718.23 30.3295 506.615
4	'' -1607.13 48.7524 640.98
5	'' -1504.12 70.6479 574.497
6	'' -1486.26 74.407 596.989
7	'' -1474.99 75.7606 609.843
8	'' -1439.78 70.2737 635.481
9	'' -1450.68 17.3928 618.487
10	'' -1428.57 71.3457 602.287
11	'' -1441.42 66.8262 578.261
12	'' -1381.73 60.7362 644.329
13	'' -1335.67 60.7174 651.071
14	'' -1182.57 60.6725 560.846
15	'' -1173.15 60.7703 530.206
16	'' -1185.52 60.6725 524.371
17	'' -1160.49 60.7703 547.75
18	'' -1193.03 60.6257 541.461
19	'' -1165.79 62.3766 620.215
20	'' -1120.06 61.8122 636.33
21	'' -1125.76 63.7452 529.112
