1	'Start' -300.58 72.46 69.04
2	'' -249.37 72.89 148.8
3	'' -228.69 69.29 224.39
4	'' -221.59 69.6 305.5
5	'' -170.94 69.19 337.14
6	'' -105.93 71.91 332.25
7	'' -111.41 85.23 262.48
8	'' -98.19 85.23 246.93
9	'' -45.03 75.82 317.74
10	'' 46.66 75.33 345.18
11	'' 47.79 124.56 459.13
12	'' 100.34 125.68 432.81
13	'' 68.57 172.04 313.81
14	'' 81.85 174.69 178.98
15	'' 94.88 174.86 138.85
16	'' 212.88 173.01 46.58
17	'' 260.6 170.18 -78.19
18	'' 246.58 170.56 -165.27
19	'' 344.73 170.69 -220.8
20	'' 399.53 157.16 -258.85
21	'' 494.13 133.91 -303.22
22	'' 543.31 123.82 -357.66
23	'' 515.2 123.8 -365.21
24	'' 415.59 72.42 -318.43
25	'' 380.95 70.15 -388.43
26	'' 375.68 68.44 -430.41
27	'' 294.05 67.27 -522.09
28	'' 207.91 65.63 -530.64
29	'' 135.51 73.43 -477.97
30	'' 128.61 123.44 -587.64
31	'' 82.69 123.42 -574.5
32	'' 87.67 112.27 -522.18
33	'' 79.92 107.73 -455.31
34	'' 86.88 98.32 -397.1
35	'' 76.91 97.96 -342.67
36	'' -4.94 97.98 -315.13
37	'' -27.2 98.42 -342.19
38	'' -42.97 80.23 -379.04
39	'' -25.64 70.04 -440.53
40	'' -3.7 65.74 -479.6
41	'' -19.37 65.85 -523.69
42	'' -83.11 65.99 -495.83
43	'' -166.61 72.51 -459.42
44	'' -215.83 72.88 -425.32
45	'' -221.68 72.21 -382.23
46	'' -217.41 72.43 -332.85
47	'' -265.83 74.11 -256.24
