1	'1' -935.427 53.6723 323.773
2	'2' -575.88 30.5244 1075.72
3	'3' 712.466 9.4189 -598.779
4	'4' -693.75 43.0241 -508.992
5	'5' -311.992 79.735 687.226
6	'6' -1190.26 114.951 -239.852
7	'7' -1233.4 150.059 310.889
8	'8' -459.655 145.019 1324.06
9	'9' 897.778 44.6992 -125.059
10	'10' -406.017 61.2207 -669.147
11	'11' -160.709 152.92 1725.65
12	'12' 580.074 154.565 -629.918
13	'13' -188.681 46.6386 673.442
14	'14' -731.386 72.3831 199.594
15	'15' -597.734 50.8312 1601.01
16	'16' 1092.85 78.8814 -528.528
17	'17' -856.598 68.7174 725.296
18	'18' -1075.6 159.752 -173.84
19	'19' -472.914 118.361 -937.196
20	'20' -1433.48 10.9048 -595.578
21	'21' -1356.47 50.6195 24.9391
22	'22' 978.467 40.6279 -636.498
23	'23' 943.013 25.7909 -361.476
24	'24' -217.846 56.1038 -680.755
25	'25' -594.899 53.2722 387.505
26	'26' -84.7375 38.5538 1152.7
27	'27' -914.944 42.9962 622.339
