1	'' -661.52 -197.06 -125.42
2	'' -638.09 -253.9 -28.67
3	'' -723.95 -271.92 62.88
4	'' -722.27 -271.58 63.83
5	'' -848.78 -274.39 153.11
6	'' -797.33 -270.31 234.93
7	'' -793.03 -272.57 258.04
8	'' -809.84 -275.17 278.44
9	'' -805.25 -276.98 289.9
10	'' -783.8 -275.33 335.7
11	'' -776.79 -274.01 373.08
12	'' -744.77 -272.49 410.17
13	'' -747.84 -270.55 443.12
14	'' -748.36 -273.76 472.92
15	'' -726.21 -272.44 499.53
16	'' -724.64 -268.98 512.82
17	'' -710.18 -262.79 557.72
18	'' -665.17 -167.11 612.23
19	'' -618.96 -154.65 642.44
20	'' -554.07 -166.46 688.09
21	'Safe_Away_from_end' -494.88 -170.08 721.77
22	'Back_2_Start' -668.15 -158.9 -199.7
