1	'' -293.52 281.887 -104.16
2	'' -288.981 282.895 -112.46
3	'' -50.3987 155.001 -49.8397
4	'' 0.183012 300.527 -300.428
5	'' 49.9031 154.836 -50.4214
6	'' 0.610477 342.822 247.898
7	'' -50.6087 155.072 51.5168
8	'' 168.052 212.08 255.477
9	'' 429.984 189.508 -30.9865
10	'' 190.596 187.924 -102.745
11	'' -246.719 226.437 -270.645
12	'' -245.589 193.665 116.271
13	'' -231.552 328.124 -254.895
14	'' -262.545 382.922 39.4765
15	'' -244.198 58.8629 395.009
16	'' 89.185 7.25119 -11.2859
17	'' 392.249 0.878804 -335.286
18	'' 6.87665 26.3459 261.756
19	'' 686.529 289.744 377.36
