1	'' -67.0147 -0.499034 63.3801
2	'' -59.1679 -0.496336 55.864
3	'' -55.1471 -0.499038 100.736
4	'' -87.098 -0.495021 62.0187
5	'' -196.911 8.52229 111.671
6	'' -217.323 8.60001 123.523
7	'' -212.945 8.53951 82.0403
8	'' -217.088 8.55449 37.525
9	'' -244.371 11.9968 -77.5285
10	'' -255.318 14.067 -144.322
11	'' -291.392 23.7643 -145.308
12	'' -316.416 23.3862 -145.372
13	'' -293.068 23.9316 -114.969
14	'' -83.3214 -5.75467 -141.297
15	'' -62.1339 1.80051 -125.24
16	'' -63.7466 2.11665 -94.1232
17	'' -83.4101 -5.23735 -81.971
18	'' -41.7253 14.0895 -108.495
19	'' -92.8336 13.3848 204.007
20	'' -94.0279 13.2919 217.469
21	'' -92.7532 13.3087 241.536
22	'' -106.149 13.3718 242.832
23	'' -100.208 13.2224 262.418
24	'' 11.0711 23.7765 246.211
25	'' 15.119 25.9688 251.372
26	'' 39.888 25.971 249.881
27	'' -14.8994 87.7337 -19.5297
28	'' -0.311694 116.462 205.556
