1 	'' 81.48148148 371.604938272 661.7283950
2 	'' 704.9382716 369.135802469 439.5061728
3 	'' 587.6543209 422.222222222 161.7283950
4 	'' -533.3333333 359.259259259 -533.33333
5 	'' 254.3209876 328.395061728 -798.765432
6 	'' 76.54320987 275.308641975 -992.592592
7 	'' 395.0617283 348.148148148 -286.419753
8 	'' 756.7901234 379.012345679 79.01234567
9 	'' -416.0493826 364.197530864 -455.55555
10	'' -629.629629 150.617283951 -328.395061
11	'' -732.0987652 359.259259259 187.654320
12	'' -449.3827169 518.518518519 645.679012
13	'' -22.22222222 480.24691358 675.3086419
14	'' 465.4320987 428.395061728 661.7283950
15	'' 669.1358024 458.024691358 886.4197530
16	'' 620.9876543 348.148148148 -650.617283
17	'' 532.0987654 303.703703704 -1011.11111
18	'' 116.0493827 341.975308642 -840.740740
19	'' -220.9876541 376.543209877 -717.28395
20	'' -133.3333333 376.543209877 -471.60493
21	'' 72 394 -364
22	'' 182.716043 374.074074074 -550.617283
23	'' -381.481481 449.382716049 907.407407
24	'' -711.111111 355.555555556 -51.851851
25	'' 101.234561 434.567901235 403.7037037

-108.266 305.411 -382.819
59.57 319.33 -295
