1	'On-Wings-of-Gold-start-point' 222.723 321.644 110.391
2	'' 213.243 322.474 107.484
3	'' 208.825 322.474 104.082
4	'' 200.161 314.567 96.5646
5	'' 193.089 314.567 89.7873
6	'' 183.723 303.064 77.8156
7	'' 180.797 292.845 73.8959
8	'' 180.032 283.885 71.6577
9	'' 179.892 263.406 70.6142
10	'' 164.624 335.804 90.0343
11	'' 178.904 329.417 95.6861
12	'' 187.824 320.617 136.198
13	'' 166.335 320.617 123.316
14	'' 147.194 334.075 115.784
15	'' 144.017 322.566 127.192
16	'' 140.309 310.047 147.591
17	'' 151.2 362.681 107.735
18	'' 163.981 362.681 115.984
19	'' 189.339 402.734 117.106
20	'' 187.949 396.334 115.393
21	'' 187.918 388.654 115.373
22	'' 187.913 380.974 115.37
23	'' 187.913 374.574 115.369
24	'' 177.978 342.581 117.897
25	'' 156.04 328.684 89.9611
26	'' 147.766 331.679 70.3419
27	'' 152.939 379.129 79.8584
28	'' 157.47 377.179 102.689
29	'' 155.109 359.23 96.0424
30	'' 183.647 359.23 66.3197
31	'' 179.759 376.813 60.3707
32	'' 229.261 376.813 47.3728
33	'' 169.906 399.383 81.9123
34	'' 168.804 317.912 124.952
35	'' 154.602 302.424 104.364
36	'' 130.893 286.916 110.235
37	'' 168.777 259.876 97.9862
38	'' 182.528 294.501 76.199
39	'' 207.278 314.404 77.2757
40	'' 213.388 350.312 51.7819
41	'' 203.678 321.952 112.085
