1	'bug' 1125.05 437.673 340.27
2	'' 1094.02 429.011 352.909
3	'' 1081.7 427.602 360.499
4	'' 1114.58 431.158 375.43
5	'' 1092.8 424.853 373.924
6	'' 1075.65 424.853 385.395
7	'' 1047.37 405.514 388.307
8	'' 1064.94 402.394 386.015
9	'' 1071.79 390.535 398.655
10	'' 1059.94 403.401 406.437
11	'' 1071.58 403.791 412.08
12	'' 1084.65 400.486 428.526
13	'' 1101.35 446.894 344.704
14	'' 1087.48 444.999 354.339
15	'' 1073.58 445.085 358.367
16	'' 1065.05 443.846 361.383
17	'' 1075.18 425.117 385.747
18	'' 1105.74 418.617 393.341
19	'' 1119.85 408.908 402.118
20	'' 1105.35 401.519 356.072
21	'' 1132.11 389.574 377.179
22	'' 1069.71 452.788 401.477
23	'' 1081.35 453.556 408.74
24	'' 1084.64 453.893 410.091
25	'' 1087.75 455.88 408.774
26	'' 1090.47 451.135 405.584
27	'' 1080.31 460.197 389.495
28	'' 1085.34 460.288 386.563
29	'' 1086.56 460.526 384.65
30	'' 1088.59 462.487 392.497
31	'' 1080.76 462.487 398.444
32	'' 1114.44 431.541 375.333
33	'' 1105.76 418.471 393.589
