1	'Begin' 725.792 485.637 -453.514
2	'' 791.951 391.771 -482.48
3	'' 787.104 390.828 -474.306
4	'' 779.12 390.253 -470.41
5	'' 769.274 390.746 -462.774
6	'' 761.108 391.184 -458.62
7	'' 752.418 391.821 -460.157
8	'' 751.81 391.598 -469.065
9	'' 749.317 391.839 -474.855
10	'' 749.298 391.993 -483.306
11	'' 749.214 392.388 -491.012
12	'' 751.765 392.708 -500.18
13	'' 735.498 393.457 -484.951
14	'' 738.815 392.674 -473.854
15	'' 739.077 392.709 -463.947
16	'' 742.183 393.356 -453.145
17	'' 752.533 392.775 -448.564
18	'' 751.622 393.941 -440.283
19	'' 765.181 392.413 -448.014
20	'' 773.517 391.828 -453.886
21	'' 784.558 392.543 -449.96
22	'' 789.619 392.691 -458.019
23	'' 791.637 392.184 -465.47
24	'' 800.632 394.703 -460.807
25	'' 796.636 393.473 -469.62
26	'' 772.11 390.138 -474.245
27	'' 757.318 390.976 -476.97
28	'' 762.689 390.355 -486.214
29	'' 775.375 393.763 -493.532
30	'' 782.175 390.307 -484.231
31	'' 780.001 391.262 -462.766
