1	'' -96.5273 494.58 -467.302
2	'' -79.0809 493.796 -501.802
3	'' -52.495 495.773 -490.875
4	'' -47.5628 495.108 -530.668
5	'' -21.2221 491.88 -535.634
6	'' -35.7972 503.28 -537.088
7	'' -72.6449 512.974 -499.667
8	'' -97.3706 514.362 -513.185
9	'' -111.526 528.645 -506.837
10	'' -169.793 528.835 -514.069
11	'' -163.002 503.27 -474.15
12	'' -181.761 515.611 -452.125
13	'' -158.216 503.935 -413.608
14	'' -114.23 502.147 -392.536
15	'' -74.0962 494.352 -408.161
16	'' -97.097 505.679 -361.148
17	'' -102.384 509.215 -359.335
18	'' -108.503 508.709 -359.213
19	'' -111.884 510.794 -356.366
20	'' -131.493 518.673 -357.317


