1	'' -746.54 97.41 70.87
2	'' -750.4 91.01 66.37
3	'' -763.64 113.17 125.45
4	'' -667.02 100.23 207.42
5	'' -645.17 126.25 301.1
6	'' -651.6 132.37 310.57
7	'' -822.77 136.93 222.47
8	'' -658.87 96.83 9.53
9	'' -655.67 91.44 3.71
10	'' -650.06 89.99 5.05
11	'' -651.78 107.28 40.18
12	'' -636.72 103.19 35.37
13	'' -576.59 112.72 -40.19
14	'' -566.36 118.65 -33.51
15	'' -586.67 114.09 46.77
16	'' -513.2 135.1 307.08
17	'' -490.26 127.99 286.57
18	'' -504.08 100.53 191.62
19	'' -438.3 121.71 216.57
20	'' -367.73 143.17 362.34
21	'' -331.26 116.76 296.35
22	'' 374.94 -39.52 87.17
23	'' 371.4 -61.43 35.03
24	'' 299.12 -74.13 -12.51
25	'' 320.88 -63.16 -41.27
26	'' 236.76 -68.17 -118.04
27	'' 189.96 -56.81 -41.37
28	'' 198.39 -50.29 -167.07
29	'' 156.06 -36.76 -185.3
30	'' -113.65 -96.72 -31.36
31	'' -157.23 -54.49 -23.65
32	'' -162.32 -49.75 -74.45
33	'' -215.21 -49.3 -86.85
34	'' -227.48 -56.67 -57.73
35	'' -213.81 -69.58 7.99
36	'' -170.93 -61.46 64.08
37	'' -330.31 -45.04 -90.98
38	'' -328.38 -39.48 -95.11
39	'' -321.75 -42.96 -98.2
40	'' -313.4 -21.99 -15.63
41	'' -312.18 -18.93 -17.91
42	'' -312.55 -16.26 -17.2
43	'' -312.22 -13.65 -15.38
44	'' 508.52 -43.2 56.67
45	'' 453.15 -30.05 91.67
46	'' 1001.31 62.95 -468.97
47	'' 996.75 66.48 -463.25
48	'' 989.09 70.39 -469.08
49	'' 992.82 73.95 -476.46
50	'' 998.84 78.4 -478.17
51	'' 999.01 82.93 -474.22
52	'' 999.65 85.6 -469.08
53	'' 996.9 89.5 -470.35
54	'' 752.88 75.21 241.56
55	'' 819.51 33.56 245.56
56	'' 882.84 23.41 244.28
57	'' 847.2 25.29 264.91
58	'' 902.91 42.96 268.97
59	'' -42.34 1.26 -121.18
