1	'' 78.8161 11.5976 -424.94
2	'' 691.209 2.65328 -35.1895
3	'' 305.55 42.8998 262.392
4	'' -331.041 92.7598 374.15
5	'' -465.008 110.008 408.361
6	'' -681.561 86.8467 349.934
7	'' -159.295 1.94085 153.613
8	'' -226.369 29.9167 201.265
9	'' -287.495 44.1327 211.292
10	'' -278.253 44.7795 209.845
11	'' -708.276 49.4964 -31.1943
12	'' -524.422 19.6466 -118.073
13	'' -428.594 37.6334 -75.3563
14	'' -421.473 39.6251 54.3568
15	'' -377.369 59.6633 257.229
16	'' -208.469 124.731 356.072
17	'' -860.301 90.1486 285.723
18	'' -867.682 89.0113 277.493
19	'' -878.877 82.6855 215.943
20	'' -917.183 127.623 327.471
21	'' -368.493 42.9302 132.001
22	'' -252.917 20.4264 70.5265
23	'' -955.838 108.747 84.4427
24	'' -927.118 126.12 321.713
25	'' 40.1108 53.1069 -83.1947
