1	'' 500.802 14.3942 45.7233
2	'' 59.4282 0.171504 -476.443
3	'' -994.097 90.94 -59.2137
4	'' -967.28 135.054 193.33
5	'' -1010.08 212.84 1063.08
6	'' -486.437 69.3207 842.105
7	'' 454.823 141.213 -564.422
8	'' -1202.64 137.639 581.411
9	'' -1098.53 161.232 383.064
10	'' -967.448 131.162 477.395
11	'' -708.061 151.658 833.525
12	'' 888.671 8.08424 -91.313
13	'' -316.915 11.6019 1093.91
14	'' -435.877 0.606121 1017.52
15	'' -211.573 11.8173 869.041
16	'' -158.69 83.2703 286.841
17	'' -276.074 9.67277 -832.484
18	'' -511.324 103.865 -559.9
19	'' -459.805 65.8129 334.909
20	'' 643.272 15.0282 -264.031
21	'' 142.038 147.148 678.496
22	'' -158.967 76.8211 412.867
23	'' 390.566 22.6238 -95.2754
24	'' 644.537 7.55033 -96.3313
25	'' 492.806 15.8033 -265.155
26	'' 773.072 18.6083 288.62
27	'' -791.355 -0.225773 -755.081
