1	'' 423.893 14.3941 80.2617
2	'' 397.814 14.6613 49.6905
3	'' 389.953 13.8294 -37.3463
4	'' 334.65 23.7354 -84.3734
5	'' 389.216 7.58245 -169.692
6	'' 440.638 43.7394 -95.617
7	'' 581.31 7.55513 -97.3427
8	'' 335.441 43.7394 -97.81
9	'' 104.85 44.3642 -70.0117
10	'' 174.14 21.6371 -96.4496
11	'' 463.878 14.8481 -264.609
12	'' 640.337 15.0162 -274.904
13	'' 641.145 15.0162 -253.521
14	'' 858.353 25.1057 -92.3198
15	'' 870.256 8.13139 -97.4161
16	'' 805.443 7.90462 -135.531
17	'' 799.847 29.5722 -165.036
18	'' 815.136 18.2247 -14.6246
19	'' 833.283 8.07644 4.11382
20	'' 772.654 19.7356 247.891
21	'' 769.8 18.509 290.25
22	'' 771.343 19.9804 327.841
23	'' 733.882 20.5918 288.781
24	'' 814.731 19.947 287.678
25	'' 793.363 51.2737 371.832
26	'' 684.855 45.3016 344.774
27	'' 639.684 41.1346 284.486
28	'' 603.45 37.529 318.58
29	'' 233.983 7.54312 23.925
