1	'' 171.37 12.93 65.37
2	'' 688.7 2.27 106.58
3	'' 461.05 147.47 -508.59
4	'' 285.27 7.56 -193.24
5	'' 542.12 102.31 -836.92
6	'' -243.43 14.04 -340.65
7	'' -538.92 74.48 -336.92
8	'' -757.38 27.33 -387.18
9	'' -454.95 103.65 -537.04
10	'' -984.92 71.8 -464.52
11	'' -836.61 103.67 -262.44
12	'' -398.97 28.09 -77.91
13	'' -706.8 62.28 94.27
14	'' -831.44 107.31 163.68
15	'' -972.26 108.1 9.22
16	'' -631.88 54.72 347.07
17	'' -387.59 70.71 442.35
18	'' -269.28 75.89 315.94
19	'' -126.52 74.96 341.82
20	'' -97.47 74.76 242.89
21	'' 207.17 37.85 478.18
22	'' 387.2 34.35 388.16
23	'' -230.29 49.01 671.22
24	'' -1130.66 129.79 903.82
25	'' -1144.24 146.98 1005.27
26	'' -1002.59 128.76 1125.4
27	'' -758.76 51.93 1003.99
