1	'' 756.71 32.7 837.82
2	'' 772.3 27.63 857.13
3	'' 683.74 3.34 260.56
4	'' 688.27 3.36 253.02
5	'' -204.53 55.64 790.08
6	'' -39.9 8.52 1632.01
7	'' -150.21 -11.78 1673.3
8	'' -97.06 108.75 813.46
9	'' -92.04 109.11 804.43
10	'' -10.25 65.15 732.78
11	'' -9.22 65.45 730.68
12	'' -277.95 24.39 504.8
13	'' -280.18 25.08 519.34
14	'' -266.24 23.21 501.99
15	'' -712.83 27.43 -381.88
16	'' -804.1 31.03 -438.12
17	'' -1153.68 151.6 1043.38
18	'' -1268.33 -227.32 1100.26
19	'' -1163.37 -256.84 1168.99
