1	'' -1188.45 30.6453 -271.165
2	'' 146.041 32.2107 -775.827
3	'' -846.934 46.9663 1009.36
4	'' 301.625 42.141 620.163
5	'' -696.536 24.6924 341.315
6	'' -627.175 -0.832375 100.967
7	'' 362.162 3.47756 845.136
8	'' -911.856 -0.841795 -26.1052
9	'' -793.928 79.8485 1226.2
10	'' -285.725 67.3398 -789.34
11	'' -827.515 0.606894 587.653
12	'' -381.853 28.905 1323.36
13	'' -782.465 23.7251 -359.739
14	'' -243.958 78.2403 -258.344
15	'' -1210.34 -478.138 1083.22
16	'' -1388.05 60.441 602.633
17	'' -23.2905 43.3642 734.118
18	'' -1224.33 51.2169 820.883
19	'' -326.787 118.139 636.318
20	'' -126.366 106.51 825.668
21	'' -213.707 51.5133 779.203
22	'' -1105.82 4.99135 -508.302
23	'' 261.315 62.2399 1516.19
24	'' -173.929 -2.11946 1625.33
25	'' 478.973 19.0084 1528.81
