1	'starting_point' -359.46 144.05 603.05
2	'' -359.03 153.06 626.18
3	'' -369.37 152.77 664.63
4	'' -379.4 153.96 664.86
5	'' -375.69 159.6 679.56
6	'' -398.79 158.83 652.79
7	'' -405.52 158.82 633.43
8	'' -402.07 154.94 613.9
9	'' -394.37 167.93 677.26
10	'' -407.81 175.95 697.58
11	'' -385.79 168.91 692.77
12	'' -339.82 158.13 686.83
13	'' -338.98 159.65 702.67
14	'' -352.07 150.47 719.41
15	'' -356.04 167.83 728.88
16	'' -359.55 168.01 736.61
17	'' -354.1 171.04 744.42
18	'' -346.16 170.82 736.18
19	'' -345.54 169.96 725.61
20	'' -367.53 167.56 756.17
21	'' -372.26 170.2 767.42
22	'' -387.48 165.76 767.42
23	'' -400.58 178.55 796.55
24	'' -429.74 183.85 795.25
25	'' -425.7 184.93 809.87
26	'' -412.77 183.88 802.37
27	'' -409.74 184.45 810.16
28	'' -412.56 185.44 821.92
29	'' -395.57 179.99 818.34
30	'' -382.06 178.4 798.46
31	'' -367.05 174.79 803.04
32	'' -362.47 171.51 785.89
33	'' -395.43 181.7 839.38
34	'' -413.5 183.38 846.33
35	'' -412.02 185.97 864.96
36	'' -412.53 193.8 881.39
37	'' -414.56 205.88 896.8
38	'' -457.38 232.46 907.06
39	'' -449.37 230.63 914.87
40	'' -444.68 224.97 905.43
41	'' -392.29 224.56 872.94
42	'' -390.73 201.16 808.07
