1	'20' 341.168 13.3144 126.532
2	'1' -428.323 157.734 1232.36
3	'19' -513.308 163.696 1175.29
4	'2' -242.087 242.282 999.732
5	'17' -140.379 331.988 888.515
6	'11' 65.8637 125.183 925.193
7	'18' 207.987 110.418 910.805
8	'12' 141.457 224.126 1275.43
9	'5' 349.58 262.95 1310.66
10	'7' 222.774 131.308 1512.08
11	'6' 437.637 88.683 1368.41
12	'3' 541.601 215.798 1282.26
13	'16' 610.176 245.252 1006.34
14	'13' 451.554 111.512 1004.11
15	'4' 633.609 223.819 708.467
16	'10' 586.269 106.939 618.39
17	'14' 351.596 71.3251 517.626
18	'9' 159.862 121.766 669.245
19	'15' 77.4476 251.939 504.587
20	'8' -250.792 150.339 589.782
