1	'petrifidstamp' -254.611 24.8823 -703.8
2	'petrifid' -285.968 15.6765 -751.965
3	'' -213.588 18.2601 -760.234
4	'' -90.2002 33.1688 -304.657
5	'' -7.09244 2.59108 -396.565
6	'' 163.293 22.7706 -415.929
7	'' 292.922 14.5735 -612.062
8	'' 321.097 23.1287 -392.064
9	'' 173.423 56.1251 -294.472
10	'' 460.117 27.8861 -273.868
11	'' 500.933 21.9705 -435.022
12	'' 513.31 14.066 -567.586
13	'' 427.898 9.25242 -757.563
14	'' 693.659 1.84658 -805.535
15	'' 590 13.003 -962.649
16	'' 611.836 17.8323 -276.879
17	'' 638.974 8.61083 -457.018
18	'' 851.936 1.20175 -454.278
19	'' 1039.73 0.3021 -149.523
20	'' 842.109 2.82517 -184.527
21	'' 776.638 8.05807 -296.19
22	'' 702.652 47.5055 -174.791
23	'' 767.945 14.31 -36.4874
24	'' 640.974 52.2338 -2.68086
25	'' 310.789 97.412 -41.3611
26	'' 230.797 96.8111 215.276
27	'' 129.694 103.896 203.298
28	'' 162.078 75.8424 120.514
29	'' 58.7389 90.8069 141.824
30	'' -77.7178 82.902 -10.4939
31	'' 26.6303 71.9778 -104.495
32	'' -631.193 58.0753 -396.736
33	'' -884.967 15.1493 -464.352
34	'' -917.016 28.7594 -420.833
35	'' -1041.97 25.5706 -156.163
36	'' -1122.56 3.47145 -41.9857
37	'' -997.881 39.0245 131.684
38	'' -1056.99 2.98996 193.872
