1	'1' -231.414 24.8823 -687.517
2	'2' -194.536 192.224 -520.24
3	'3' -321.642 23.9737 -388.372
4	'4' 49.1897 1.91206 -352.18
5	'5' -27.3895 134.605 -210.75
6	'6' 246.023 29.7715 -710.599
7	'7' 360.432 23.5761 -1015.33
8	'8' 389.069 6.65563 -568.686
9	'9' 673.308 4.72494 -531.25
10	'10' 707.169 37.4493 -408.022
11	'11' 507.991 18.9734 -314.234
12	'12' 1034.2 2.52302 -250.252
13	'13' 987.805 2.3476 201.962
14	'14' 595.346 94.828 151.911
15	'15' 232.242 66.0193 39.5289
16	'16' -673.042 5.09234 -594.161
17	'17' -680.992 38.8905 -410.942
18	'18' -836.176 83.2484 -868.634
19	'19' -1028.28 -0.955537 -604.434
20	'20' -1008.29 33.7053 -261.603
21	'21' -1020.74 81.1116 133.549
22	'22' -805.347 171.351 -52.5677
23	'23' -629.224 166.72 -112.751
24	'24' 880.332 122.482 590.553
