1	'' 866.477 1.70579 -311.799
2	'' 913.168 1.69356 -309.305
3	'' 968.882 1.69339 -309.599
4	'' 1045.29 0.599806 -308.448
5	'' 1080.32 1.6959 -362.143
6	'' 1075.1 1.69339 -452.896
7	'' 1026.88 1.69339 -514.54
8	'' 929.569 1.69339 -514.01
9	'' 858.285 1.69339 -517.852
10	'' 815.294 7.42762 -559.255
11	'' 798.669 1.66328 -641.699
12	'' 825.815 1.69318 -670.983
13	'' 874.157 1.69338 -701.968
14	'' 916.695 1.69339 -687.303
15	'' 967.003 5.23776 -684.369
16	'' 961.315 0.876926 -707.55
17	'' 957.582 1.74219 -739.302
18	'' 999.045 1.69338 -765.54
19	'' 1047.32 6.52559 -721.782
20	'' 1079.59 1.67271 -652.12
21	'' 1042.89 1.69327 -594.265
22	'' 977.192 5.73357 -552.686
23	'' 932.098 1.66609 -491.085
24	'' 881.518 1.69283 -458.929
25	'' 844.734 5.43947 -438.968
26	'' 826.601 1.43063 -375.731
27	'' 838.829 1.65029 -342.036
