1	'' -503.928 272.459 132.166
2	'' -486.384 267.772 41.2354
3	'' -493.244 264.52 -11.5404
4	'' -476.5 260.846 -40.1684
5	'' -328.993 242.124 -86.9854
6	'' -274.831 238.141 -151.325
7	'' -236.371 231.629 -170.064
8	'' -173.92 248.209 -121.587
9	'' -68.7748 236.142 -111.103
10	'' -606.743 247.785 191.227
11	'' -698.544 233.739 242.694
12	'' -772.382 234.63 246.304
13	'' -822.654 246.495 234.264
14	'' -851.561 250.073 275.244
15	'' -884.017 258.547 431.486
16	'' -952.024 258.052 460.625
17	'' -1113.64 249.663 390.177
18	'' -1178.42 238.794 361.396
19	'' -1211.94 242.134 389.422
20	'' -1342.79 236.255 543.133
21	'' -1358.96 240.957 572.14
22	'' -1356.54 237.199 632.588
23	'' -1385.59 238.393 603.705
24	'' -1329.45 239.733 602.883
