1	'' 440.17 90.81 -545.24
2	'' 446.52 103.14 -528.91
3	'' 432.99 97.57 -568.73
4	'' 409.3 97.52 -624.88
5	'' 405.98 93.01 -649.09
6	'' 402.1 83.13 -663.09
7	'' 383.4 76.51 -665.58
8	'' 437.49 93.19 -720.18
9	'' 441.39 84.8 -702.59
10	'' 451.71 86.18 -667.8
11	'' 461.9 72.17 -660.68
12	'' 454.18 81.29 -639.52
13	'' 446.47 89.66 -638.81
14	'' 422.89 74.2 -638.5
15	'' 402.72 76.78 -639.24
16	'' 399.81 50.19 -688.13
17	'' 425.18 78.56 -609.69
18	'' 456.85 86.78 -595.75
19	'' 460.38 98.8 -583.54
20	'' 402.27 104.62 -537.32
21	'' 341.13 80.72 -612.74
22	'' 421.18 47.54 -771.18
23	'' 419.44 46.75 -786.97
24	'' 416.68 48.98 -812.62
25	'' 411.69 53.82 -863.63
26	'' 436.27 45.46 -880.44
27	'' 451.95 48.57 -861.34
28	'' 422.7 46 -850.98
29	'' 437.24 42.59 -838.09
30	'' 448.27 42.53 -793.83
31	'' 438.53 37.43 -795.14
32	'' 439.15 34.32 -756.68
33	'' 428.9 34.73 -744.42
34	'' 429.6 21.88 -748.06
35	'' 444.52 14.34 -761.5
36	'' 444.22 21.45 -781.13
37	'' 421.3 15.08 -816.6
38	'' 434.48 19.07 -820.63
39	'' 24.2 81.12 857.28
40	'' 31.61 81.14 821.37
41	'' 79.94 81.12 795.8
42	'' 137.52 81.12 804.82
43	'' 179.51 81.12 817.32
44	'' 192.25 81.12 849.57
45	'' 162.42 81.13 889.59
46	'' 104.24 84.67 890.48
47	'' 63.17 83.33 902.61
48	'' 38.23 81.12 895.28
