1	'' 647.11 0.588446 216.683
2	'' -224.707 2.0931 916.989
3	'' -0.133423 184.954 1206.64
4	'' 739.96 21.0094 1356.94
5	'' 4.02787 33.875 836.009
6	'' -464.357 9.52851 -44.258
7	'' 57.9723 -3.15399 -503.003
8	'' -462.866 6.49489 -197.776
9	'' -581.292 1.80982 686.31
10	'' -256.312 1.0058 740.433
11	'' -722.778 3.24525 860.403
12	'' -524.56 113.045 28.739
13	'' 377.203 0.990571 59.327
14	'' 919.133 47.1762 -619.936
15	'' 118.005 0.649727 -228.822
16	'' -119.434 21.4359 -690.364
17	'' -302.348 2.77538 -255.159
18	'' 662.703 25.7036 -316.263
19	'' -413.472 167.263 1202.19
20	'' 484.902 15.7994 19.6922
21	'' -203.545 1.49988 201.171
22	'' 717.395 2.13858 1195.93
23	'' 171.611 1.17507 578.19
24	'' -57.567 6.87217 -157.48
25	'' 902.889 53.4173 -917.177
26	'' 90.0051 40.9281 -806.511
27	'' 655.376 -0.256917 511.246
28	'' -639.53 194.335 -133.933
29	'' 840.229 16.2417 -121.087
30	'' 197.426 8.60287 -52.8875
