1	'' 692.149 -49.7118 -153.758
2	'' 169.448 10.1483 197.609
3	'' -1049.89 144.37 123.871
4	'' 875.123 -42.1611 360.46
5	'' 123.983 3.75929 46.1109
6	'' 435.299 12.3931 -99.0699
7	'' -74.2179 25.8972 -31.3304
8	'' 714.897 -1.2996 -264.408
9	'' 182.101 55.6006 357.37
10	'' 185.255 -39.1627 143.269
11	'' 497.404 0.129963 -141.322
12	'' 762.739 -8.14618 337.123
13	'' -183.664 12.37 55.8976
14	'' 617.203 4.99734 151.096
15	'' -390.531 44.1929 -171.604
16	'' 204.31 -0.454428 256.396
17	'' -491.265 27.0001 -34.1046
18	'' -238.118 10.3518 -25.2839
19	'' 24.8508 1.48834 42.5046
20	'' -519.712 3.40347 -268.528
21	'' -284.312 39.0115 -59.2857
22	'' -410.655 28.6567 -43.756
23	'' -56.8051 -0.165683 44.5285
24	'' -439.321 13.7658 -141.996
25	'' -1129.85 114.418 241.019
26	'' -557.263 48.7147 -5.67046
27	'' -314.294 130.923 -400.396
28	'' -172.617 122.577 -447.713
29	'' -1086.62 121.772 328.45
30	'' -454.575 41.3299 -209.505
31	'' 84.1578 109.419 -419.962
32	'' -138.857 143.813 -398.168
33	'' -437.376 130.132 346.046
34	'' -889.175 68.4753 -109.056
35	'' -648.2 117.852 213.483
36	'' -869.045 53.7539 -340.052
37	'' -265.518 87.2023 155.965
38	'' -819.752 66.6772 -151.8
39	'' -289.956 107.726 -228.259
40	'' -723.207 83.7156 -69.7506
41	'' -506.22 115.583 4.70523
42	'' -754.323 156.654 184.232
43	'' -769.705 156.293 199.243
44	'' -419.287 8.91074 -72.9825
45	'' -58.9189 11.3925 11.8918
46	'' 649.731 1.85635 258.26
47	'' 623.82 3.1354 181.89
48	'' -422.986 29.4198 -37.3583
49	'' -571.531 25.5745 -100.493
50	'' -1207.42 147.066 79.4328
51	'' 396.25 70.3 -321.89
52	'' 650.46 210.36 203.58
53	'' 693.66 353.52 140.77
54	'' 699.65 627.83 119.21
55	'' 148.18 163.31 429.03
56	'' -73.72 -0.09 38.31
57	'' -283.36 108.09 -232.74
58	'' -573.67 25.74 -102.03
59	'' -770.39 156.62 199.87
60	'' -73.75 -0.09 39.43
61	'' -59.28 11.22 12.28
62	'' 398.52 70.29 -322.4
63	'' -424.09 29.25 -38.49
