1	'1' 969.44 32.418 -84.3202
2	'2' 926.795 -2.58456 -284.823
3	'3' 442.962 53.435 -360.924
4	'4' 418.896 6.05172 -136.105
5	'5' 730.059 26.4385 190.905
6	'6' 123.244 162.151 414.328
7	'7' -296.679 87.7716 123.948
8	'8' -61.0666 21.2999 -313.814
9	'9' -150.174 159.101 -147.746
10	'10' -261.103 34.1761 -399.382
11	'11' -582.933 28.0448 -248.511
12	'12' -1000.44 105.686 314.218
13	'13' -588.156 129.805 372.736
14	'14' -792.509 158.022 118.597
15	'15' -487.579 118.288 113.508
16	'16' -629.514 81.8032 -88.421
17	'17' -1093.93 82.1817 -82.7895
