1	'' 692.149 -49.7118 -153.758
2	'' 169.448 10.1483 197.609
3	'' -1049.89 144.37 123.871
4	'' 875.123 -42.1611 360.46
5	'' 123.983 3.75929 46.1109
6	'' 435.299 12.3931 -99.0699
7	'' -74.2179 25.8972 -31.3304
8	'' 714.897 -1.2996 -264.408
9	'' 182.101 55.6006 357.37
10	'' 185.255 -39.1627 143.269
11	'' 497.404 0.129963 -141.322
12	'' 762.739 -8.14618 337.123
13	'' -183.664 12.37 55.8976
14	'' 617.203 4.99734 151.096
15	'' -390.531 44.1929 -171.604
16	'' 204.31 -0.454428 256.396
17	'' -491.265 27.0001 -34.1046
18	'' -238.118 10.3518 -25.2839
19	'' 24.8508 1.48834 42.5046
20	'' -519.712 3.40347 -268.528
21	'' -284.312 39.0115 -59.2857
22	'' -410.655 28.6567 -43.756
23	'' -56.8051 -0.165683 44.5285
24	'' -439.321 13.7658 -141.996
25	'' -1129.85 114.418 241.019
26	'' -557.263 48.7147 -5.67046
27	'' -314.294 130.923 -400.396
28	'' -172.617 122.577 -447.713
29	'' -1086.62 121.772 328.45
30	'' -454.575 41.3299 -209.505
31	'' 84.1578 109.419 -419.962
32	'' -138.857 143.813 -398.168
33	'' -437.376 130.132 346.046
34	'' -889.175 68.4753 -109.056
35	'' -648.2 117.852 213.483
36	'' -869.045 53.7539 -340.052
37	'' -265.518 87.2023 155.965
38	'' -819.752 66.6772 -151.8
39	'' -289.956 107.726 -228.259
40	'' -723.207 83.7156 -69.7506
41	'' -506.22 115.583 4.70523
42	'' -754.323 156.654 184.232
