1	'1' -839.56 3.15117 -196.222
2	'2' -1076.82 12.9586 -118.629
3	'3' -1075.94 10.0768 -340.966
4	'4' -1265.54 18.5509 -326.92
5	'5' -1241.29 -1.29065 -122.416
6	'6' -1159.81 16.0343 -37.2407
7	'7' -826.322 22.7737 -657.545
8	'8' -1708.01 -28.4317 -122.514
9	'9' -1649.89 4.10189 318.891
10	'10' -1194.84 51.5638 216.238
11	'11' -1312.08 6.7076 624.364
12	'12' -996.974 3.74719 455.442
13	'13' -682.096 2.03071 734.905
14	'14' -620.413 11.213 -125.674
15	'15' -438.52 10.2667 -416.155
16	'16' -247.204 15.5366 289.394
17	'17' 36.5928 129.909 793.455
18	'18' 311.973 71.0452 687.718
19	'19' 224.245 53.9473 270.324
20	'20' 224.943 99.1604 -129.685
21	'21' 447.912 16.6567 -318.137
22	'22' 443.647 -4.09856 -450.956
23	'23' 847.985 140.823 435.32
24	'24' 858.172 152.291 165.849
25	'25' 899.921 15.997 -673.119
26	'26' 1328.01 17.4509 -335.946
27	'27' 1702.17 96.1279 -273.419
28	'28' 1311.2 126.413 122.319
29	'29' 1777.73 134.405 -79.984
30	'30' 1529.54 232.802 550.967
