1	'' 101.182 30.6846 -386.391
2	'' -201.616 3.19196 -888.024
3	'' 1512 67.3277 -733.248
4	'' 1154.82 16.6418 757.891
5	'' 596.587 356.91 -18.3181
6	'' -1151.55 130.788 -880.008
7	'' 516.959 185.861 1108.02
8	'' -1612.09 392.843 -953.687
9	'' -1571.17 90.0729 -300.732
10	'' -302.099 -1.42576 618.344
11	'' -1636.53 0.208742 215.679
12	'' -1535.79 199.86 392.813
13	'' -786.233 80.5778 611.056
14	'' -989.422 143.327 1209.68
15	'' 345.817 113.763 -791.944
16	'' 505.776 40.1794 -778.65
17	'' 140.38 5.6514 616.988
18	'' -627.566 114.401 -958.188
19	'' 78.8528 59.2011 -660.811
20	'' -569.691 -7.99429 613.605
21	'' -938.938 131.747 346.208
22	'' 86.5096 162.765 8.5926
23	'' -1047.33 222.231 -717.6
24	'' 443.22 40.1936 -925.945
25	'' 743.051 112.758 -1061.55
26	'' -1170.93 207.912 -227.127
27	'' -457.002 159.034 -177.517
28	'' 501.595 40.2971 -862.883
29	'' -386.799 74.8598 810.066
30	'' 436.759 114.182 -658.461
31	'' -574.896 108.872 384.816
32	'' 1560.78 87.9816 -222.455
