1	'1_Type_/salute_at_each_coordinate' -1401.56 204.019 346.407
2	'2' -1492.77 204.066 524.816
3	'3' -1470.59 202.302 392.929
4	'4' -1477.34 202.314 334.513
5	'5' -1538.08 202.195 328.606
6	'6' -1597.24 202.221 336.668
7	'7' -1605.08 202.294 391.016
8	'8' -1594.19 202.314 453.359
9	'9' -1537.54 202.32 458.212
10	'10' -1477.85 202.221 448.801
11	'11' -1431.5 165.313 248.068
12	'12' -1381.91 147.655 -187.405
13	'13' -1339.28 147.276 -229.646
14	'14' -865.794 134.691 -564.932
15	'15' -866.059 242.831 -717.421
16	'16' -1089.68 223.64 -765.944
17	'17' -1048.67 223.64 -785.001
18	'18' -1173.69 132.027 -901.71
19	'19' -1150.22 131.945 -908.483
20	'20' -1207.49 156.062 -905.943
21	'21' 106.602 53.679 -678.504
22	'22' 26.3168 131.207 -455.988
23	'23' -577.29 48.7924 759.529
24	'24' -577.579 48.6617 479.745
25	'25' -928.941 134.33 615.544
26	'26' 34.812 26.6336 759.176
27	'27' 29.8251 27.2684 470.077
28	'28' -167.169 27.2947 469.747
29	'29' -161.159 26.6675 758.793
30	'30' -65.427 130.558 -121.802
31	'31' 62.56 162.403 -47.3815
32	'32' 523.442 281.621 -15.6381
33	'33' 595.915 281.564 -89.1204
34	'34' 564.716 225.251 62.1594
35	'35' 620.527 225.251 62.4681
36	'36' 556.653 357.809 15.4823
37	'37' 554.514 357.758 -51.8918
38	'38' 575.87 281.528 54.2338
39	'39' 677.108 272.501 -74.6162
40	'40' 733.388 272.501 -75.7133
41	'41' 251.552 193.043 -117.489
42	'42' 385.573 164.331 -207.758
43	'43' 1010.24 120.519 -229.246
44	'44' 98.2371 170.926 -83.2658
45	'45' 814.69 159.159 -427.074
46	'46' 736.346 159.238 -370.231
