1	'1' -1693.37 134.151 1005.82
2	'2' -1738.99 106.398 754.374
3	'3' -1508.9 166.588 -318.927
4	'4' -1230.76 155.375 -909.933
5	'5' -924.151 291.119 -839.032
6	'7' -373.447 259.996 -617.525
7	'6' -450.867 154.594 -163.126
8	'10' 98.2522 147.821 -1124.24
9	'8' 480.066 113.853 -691.094
10	'9' 549.727 283.688 -683.581
11	'12' 31.5225 183.022 1072.97
12	'11' 210.461 217.376 1119.6
13	'19' 1164.48 7.11791 1145.25
14	'13' 1121.35 157.525 519.213
15	'15' 328.414 270.19 -109.523
16	'14' 304.997 197.156 94.9624
17	'16' 444.369 142.709 142.258
18	'17' 631.561 84.8277 85.9878
19	'18' 1253 242.685 -689.246
20	'20' 1566.46 235.861 -601.452
21	'21' 1628.68 71.9703 -771.765
22	'23' 1567.66 70.2686 -783.706
23	'24' 1765.92 135.263 -913.238
24	'22' 1749.15 184.397 -596.723
25	'25' 1745.72 185.723 297.885
