1	'1' 724.337 114.499 1075.68
2	'2' 872.698 119.208 909.924
3	'3' 348.944 117.844 917.47
4	'4' 466.823 95.5228 605.487
5	'5' 630.55 52.7319 413.195
6	'6' -188.845 134.288 899.023
7	'7' -189.723 3.24208 1165.93
8	'8' -464.696 115.301 1174.87
9	'9' -953.257 133.646 1220.3
10	'10' -1190.15 102.116 1224.09
11	'11' -215.543 89.9775 464.139
12	'12' -152.846 33.2536 -2.52997
13	'13' -437.513 6.06582 207.01
14	'14' -866.595 119.449 -287.263
15	'15' -559.841 3.29038 -653.836
16	'16' -1257.86 18.4968 -766.713
17	'17' -1120.02 12.3601 -1002.47
18	'18' 48.9016 -0.0499493 -1212.37
19	'19v2' 423.845 5.8481 -1101.1
20	'20' 448.774 32.5961 -865.413
21	'21' -276.426 56.2662 -338.893
22	'22' 241.097 6.86843 -307.358
23	'23' 106.135 90.8648 432.572
24	'24' 880.399 50.3071 -556.739
25	'25' 1050.67 -0.812033 -989.384
26	'26' 1268.07 1.38261 -750.012
27	'27' 1061.26 6.3863 -130.305
28	'28' 1160.37 75.5378 279.284
29	'29' -1185.18 73.8328 290.726
30	'30' -980.054 22.2928 301.272
